Wall time,Step,Value
1713987909.6599727,50,104.74208068847656
1713987916.1595082,180,143.41925048828125
1713987919.1809347,240,126.06095886230469
1713987927.231011,400,134.66427612304688
1713987928.2395852,420,147.7849578857422
1713987929.7509692,450,135.18190002441406
1713987933.7888405,530,173.8846435546875
1713987935.309426,560,180.0713348388672
1713987942.9510663,710,163.43487548828125
1713987944.4751673,740,159.3015899658203
1713987954.7111828,940,112.23158264160156
1713987958.7977417,1020,99.6029052734375
1713987960.3419247,1050,99.16585540771484
1713987960.8556035,1060,110.52418518066406
1713987965.799596,1130,78.93531036376953
1713987972.5142436,1260,65.1741943359375
1713987979.2502031,1390,70.47972106933594
1713987984.9578838,1500,73.88892364501953
1713987987.5596035,1550,69.79907989501953
1713987989.1230416,1580,79.61018371582031
1713987993.8214672,1670,78.77196502685547
1713987994.3458517,1680,59.73516845703125
1713987999.5843794,1780,76.65763092041016
1713988002.2131352,1830,61.764400482177734
1713988003.273354,1850,67.716552734375
1713988003.7997324,1860,57.168243408203125
1713988005.9103823,1900,62.52519226074219
1713988010.1316469,1980,50.979339599609375
1713988014.3527923,2060,59.83624267578125
1713988014.8869886,2070,62.87177276611328
1713988017.5239577,2120,44.4194221496582
1713988024.5359297,2230,48.448143005371094
1713988027.7018661,2290,64.64225769042969
1713988030.3316832,2340,51.32005310058594
1713988038.2532747,2490,47.18531036376953
1713988041.4144287,2550,57.716064453125
1713988044.0418992,2600,45.11115264892578
1713988047.7181787,2670,50.32925033569336
1713988049.8147736,2710,53.087860107421875
1713988050.861327,2730,51.15375900268555
1713988060.8186245,2920,63.198509216308594
1713988063.4273248,2970,52.43101119995117
1713988063.9495542,2980,35.77984619140625
1713988066.5611913,3030,57.110198974609375
1713988069.1709118,3080,51.103092193603516
1713988070.213757,3100,46.85503387451172
1713988074.3851454,3180,40.828590393066406
1713988074.9073293,3190,47.84791564941406
1713988080.649939,3300,54.892723083496094
1713988086.5662827,3390,38.55567169189453
1713988090.7408335,3470,37.472381591796875
1713988099.0875785,3630,50.94392395019531
1713988101.1820586,3670,63.090232849121094
1713988106.4261065,3770,48.22608184814453
1713988129.4935222,4210,45.63788604736328
1713988130.0178266,4220,45.306121826171875
1713988134.2101653,4300,59.74772644042969
1713988138.925716,4390,58.543609619140625
1713988139.974493,4410,57.51618194580078
1713988140.499348,4420,58.13489532470703
1713988142.069122,4450,46.7037353515625
1713988146.5095372,4510,44.00722885131836
1713988151.2223117,4600,58.20842361450195
1713988152.7895627,4630,60.555538177490234
1713988153.312672,4640,42.442970275878906
1713988158.548649,4740,52.82588577270508
1713988167.4452949,4910,48.39490509033203
