Wall time,Step,Value
1713982013.4566445,0,363.07269287109375
1713982033.1292996,1,300.7901611328125
1713982050.9568133,2,258.9039306640625
1713982070.147487,3,218.65689086914062
1713982089.8254821,4,199.43438720703125
1713982109.2174516,5,168.07666015625
1713982128.2176385,6,158.09446716308594
1713982146.5092556,7,143.0436553955078
1713982164.5283916,8,136.22227478027344
1713982184.0878654,9,127.22701263427734
1713982201.639862,10,117.90055084228516
1713982221.1867666,11,112.00554656982422
1713982238.8416734,12,113.83040618896484
1713982257.2402105,13,104.23220825195312
1713982276.0918849,14,103.38011169433594
1713982295.4002962,15,95.34315490722656
1713982314.2895832,16,93.78844451904297
1713982332.3114877,17,93.00067901611328
1713982351.53011,18,88.59268188476562
1713982370.5667112,19,90.6016616821289
1713982389.9065561,20,90.14810180664062
1713982409.1454966,21,87.09651947021484
1713982428.511122,22,87.59942626953125
1713982446.4055429,23,81.90898132324219
1713982463.8452687,24,89.29872131347656
1713982482.271722,25,81.16084289550781
1713982501.0792005,26,81.59225463867188
1713982518.9192135,27,80.15364074707031
1713982538.1630185,28,76.75357055664062
1713982556.8183331,29,80.80598449707031
1713982576.0243282,30,77.95417785644531
1713982594.7035506,31,77.04550170898438
1713982614.4301686,32,80.19976043701172
1713982634.0007322,33,76.29644012451172
1713982652.505587,34,76.20087432861328
1713982671.2395763,35,76.57487487792969
1713982691.0455635,36,80.12168884277344
1713982709.873872,37,77.85059356689453
1713982728.4612837,38,75.37297821044922
1713982747.739448,39,81.92709350585938
1713982766.58031,40,76.6408920288086
1713982785.3603454,41,76.61318969726562
1713982804.3017879,42,77.24337768554688
1713982823.5192437,43,78.81339263916016
1713982841.1229906,44,73.84513854980469
1713982858.581965,45,76.73757934570312
1713982876.411121,46,75.94176483154297
1713982895.1113532,47,78.88053131103516
1713982913.4074473,48,81.48127746582031
1713982930.021508,49,75.19441223144531
