Wall time,Step,Value
1713984335.7907302,0,394.9060974121094
1713984383.782846,1,356.3506164550781
1713984428.5785139,2,347.79718017578125
1713984472.880131,3,316.5008239746094
1713984519.6299205,4,307.837890625
1713984564.7278893,5,292.0739440917969
1713984612.284749,6,242.40325927734375
1713984663.5921416,7,223.73348999023438
1713984710.1042678,8,213.7602081298828
1713984754.5022357,9,180.71417236328125
1713984796.9619074,10,182.36720275878906
1713984838.6053412,11,172.9844512939453
1713984879.983451,12,173.08486938476562
1713984922.4711175,13,149.51573181152344
1713984965.4082353,14,179.6826934814453
1713985008.3045273,15,157.62344360351562
1713985053.4417653,16,153.0140380859375
1713985098.2057555,17,189.4048614501953
1713985141.802987,18,153.22239685058594
1713985185.240264,19,132.7526092529297
1713985228.6968505,20,143.00111389160156
1713985272.4481735,21,135.41712951660156
1713985314.9675317,22,123.20947265625
1713985357.6113217,23,118.91104888916016
1713985400.7828124,24,121.79698944091797
1713985444.8864403,25,127.9533920288086
1713985487.1852903,26,127.6152114868164
1713985528.849258,27,124.26580047607422
1713985569.7815886,28,116.48190307617188
1713985611.182979,29,114.56272888183594
1713985652.729082,30,121.36151885986328
1713985694.104397,31,111.8971176147461
1713985739.7997863,32,114.706298828125
1713985786.254817,33,112.94515228271484
1713985832.6346295,34,104.68761444091797
1713985874.9909625,35,102.7553482055664
1713985921.974512,36,107.37162780761719
1713985963.2417994,37,105.85082244873047
1713986013.473144,38,100.28791046142578
1713986053.4399633,39,113.48477935791016
1713986099.4459364,40,106.48855590820312
1713986147.4181654,41,98.49590301513672
1713986192.7656476,42,98.02462768554688
1713986239.1902642,43,357.7601318359375
1713986290.430972,44,357.3987121582031
1713986335.7180762,45,355.57232666015625
1713986379.7115955,46,102.421875
1713986421.1649268,47,99.4971923828125
1713986465.4853704,48,127.07939910888672
1713986505.2391465,49,115.11570739746094
